Joshua Project People Group Data

ROG3,Ctry,PoplPeoples,CntPeoples,CntPeoplesLR,PoplPeoplesLR,JPScaleCtry,ROL3OfficialLanguage,OfficialLang,RLG3Primary,ReligionPrimary,PercentChristianity,PercentEvangelical,10_40Window,ROG2,Continent,RegionCode,RegionName,PercentUrbanized,LiteracyRate,ISO3,Population,WorkersNeeded
AF,Afghanistan,37925314,72,67,37905788,1,pbt,"Pashto, Southern",6,Islam,0.0579926835477047,0.0261405852233402,Y,ASI,Asia,5,"Asia, Central",27,32,AFG,38042000,796
AL,Albania,2848527,15,3,39474,2,aln,"Albanian, Gheg",6,Islam,33.6412140610899,0.604995716159403,Y,EUR,Europe,9,"Europe, Eastern and Eurasia",60,97,ALB,2881000,3
AG,Algeria,42988270,40,36,42956132,1,arb,"Arabic, Standard",6,Islam,0.55910716894409,0.425727310245958,Y,AFR,Africa,6,"Africa, North and Middle East",73,80,DZA,43053000,874
AQ,"American Samoa",54208,9,1,964,5,smo,Samoan,1,Christianity,95.41733090909089,24.8334992268608,N,SOP,Oceania,1,"Australia and Pacific",87,97,ASM,55000,1
AN,Andorra,76378,10,2,1108,3,cat,Catalan,1,Christianity,90.596627012987,1.35771397980905,N,EUR,Europe,10,"Europe, Western",88,99,AND,77000,2
AO,Angola,31802117,62,1,375530,5,por,Portuguese,1,Christianity,91.3741302482983,24.3116008317252,N,AFR,Africa,7,"Africa, East and Southern",66,70,AGO,31825000,8
AV,Anguilla,14519,5,,,5,eng,English,1,Christianity,90.5840740410767,33.5121438524158,N,NAR,"North America",12,"America, North and Caribbean",100,95,AIA,15000,
AC,"Antigua and Barbuda",95410,5,,,5,eng,English,1,Christianity,92.9296210260953,24.7720718318581,N,NAR,"North America",12,"America, North and Caribbean",25,97,ATG,97000,
AR,Argentina,44702858,84,2,180820,5,spa,Spanish,1,Christianity,93.08425405855709,11.0437087656502,N,LAM,"South America",11,"America, Latin",92,98,ARG,44781000,5
AM,Armenia,2911597,16,4,38602,4,hye,Armenian,1,Christianity,94.50589714793711,9.67150366219945,N,EUR,Europe,5,"Asia, Central",63,99,ARM,2958000,4
AA,Aruba,105069,9,,,4,nld,Dutch,1,Christianity,95.4753252830189,9.892979561842621,N,NAR,"North America",12,"America, North and Caribbean",43,98,ABW,106000,
AS,Australia,25197535,179,20,867440,5,eng,English,1,Christianity,65.3827337499889,14.464599957154,N,AUS,Australia,1,"Australia and Pacific",86,99,AUS,25203000,24
AU,Austria,8906902,44,8,356350,3,deu,"German, Standard",1,Christianity,82.8848879017942,0.595744379765598,N,EUR,Europe,10,"Europe, Western",58,98,AUT,8955000,10
AJ,Azerbaijan,10023849,38,24,9692332,1,azj,"Azerbaijani, North",6,Islam,2.64690178902317,0.247294971082515,Y,ASI,Asia,5,"Asia, Central",56,99,AZE,10048000,208
BF,Bahamas,386525,9,,,5,eng,English,1,Christianity,94.45931683804631,39.6090589211303,N,NAR,"North America",12,"America, North and Caribbean",83,97,BHS,389000,
BA,Bahrain,1619294,16,7,1257440,4,arb,"Arabic, Standard",6,Islam,8.28992851918559,2.50327232175503,Y,ASI,Asia,6,"Africa, North and Middle East",89,95,BHR,1641000,27
BG,Bangladesh,162309346,333,301,160412276,1,ben,Bengali,6,Islam,0.340149138316321,,Y,ASI,Asia,4,"Asia, South",37,58,BGD,163046000,3413
BB,Barbados,283340,5,1,4003,5,eng,English,1,Christianity,92.6134604529617,33.5975278745645,N,NAR,"North America",12,"America, North and Caribbean",31,99,BRB,287000,1
BO,Belarus,9408289,26,5,25321,3,bel,Belarusian,1,Christianity,69.4431582289463,1.67387971429976,N,EUR,Europe,9,"Europe, Eastern and Eurasia",79,100,BLR,9452000,5
BE,Belgium,11467790,91,26,938696,3,vls,Vlaams,1,Christianity,64.2592914639097,1.42090395467621,N,EUR,Europe,10,"Europe, Western",98,100,BEL,11539000,38
BH,Belize,367780,13,1,3470,5,eng,English,1,Christianity,85.99868155364651,23.3898086518053,N,NAR,"North America",11,"America, Latin",46,89,BLZ,390000,1
BN,Benin,11767197,63,13,2202988,4,fra,French,1,Christianity,31.5693455458448,7.46978338419162,Y,AFR,Africa,8,"Africa, West and Central",47,38,BEN,11801000,48
BD,Bermuda,61799,7,,,5,eng,English,1,Christianity,91.65388317460319,26.2927461271131,N,NAR,"North America",12,"America, North and Caribbean",100,98,BMU,63000,
BT,Bhutan,759344,76,73,756404,1,dzo,Dzongkha,2,Buddhism,0.276385091552063,,Y,ASI,Asia,4,"Asia, South",41,65,BTN,763000,78
BL,Bolivia,11460379,48,2,2900,5,spa,Spanish,1,Christianity,92.44285948840449,19.3380113615093,N,LAM,"South America",11,"America, Latin",69,93,BOL,11513000,2
BK,Bosnia-Herzegovina,3276034,12,3,1536917,2,bos,Bosnian,6,Islam,44.390100459414,0.210847086460535,N,EUR,Europe,9,"Europe, Eastern and Eurasia",48,99,BIH,3301000,32
BC,Botswana,2240496,46,,,4,eng,English,1,Christianity,65.51409060488329,8.257098741319441,N,AFR,Africa,7,"Africa, East and Southern",69,85,BWA,2304000,
BR,Brazil,210904796,323,47,120043,5,por,Portuguese,1,Christianity,89.5402492022872,24.5589426938791,N,LAM,"South America",11,"America, Latin",87,98,BRA,211050000,45
IO,"British Indian Ocean Territory",2950,2,,,5,eng,English,1,Christianity,78.23333333333331,33.2666666666667,N,ASI,Asia,4,"Asia, South",,,IOT,3000,
VI,"British Virgin Islands",29196,4,,,5,eng,English,1,Christianity,90.636624,28.6909666666667,N,NAR,"North America",12,"America, North and Caribbean",48,98,VGB,30000,
BX,Brunei,423138,24,8,236374,4,zlm,Malay,6,Islam,11.7004991454917,5.28845023093019,Y,ASI,Asia,2,"Asia, Southeast",78,96,BRN,433000,11
BU,Bulgaria,6955817,31,8,636655,3,bul,Bulgarian,1,Christianity,82.3947012944506,1.98105176176509,N,EUR,Europe,9,"Europe, Eastern and Eurasia",75,98,BGR,7000000,18
UV,"Burkina Faso",20273460,81,27,5109293,5,fra,French,6,Islam,20.5012039964147,10.2444088652881,Y,AFR,Africa,8,"Africa, West and Central",29,36,BFA,20321000,116
BY,Burundi,11475956,12,3,18449,5,run,Rundi,1,Christianity,92.618007152031,29.8394390074225,N,AFR,Africa,7,"Africa, East and Southern",13,85,BDI,11531000,3
CB,Cambodia,16435493,43,31,16326309,1,khm,Khmer,2,Buddhism,3.1689761112157,1.76754786058648,Y,ASI,Asia,2,"Asia, Southeast",23,77,KHM,16487000,347
CM,Cameroon,25793122,292,17,3681100,4,fra,French,1,Christianity,52.9275896177123,9.19369525541167,N,AFR,Africa,8,"Africa, West and Central",56,75,CMR,25876000,81
CA,Canada,37314559,275,50,1953651,4,eng,English,1,Christianity,72.95092888374219,7.97622727392947,N,NAR,"North America",12,"America, North and Caribbean",81,99,CAN,37411000,74
CV,"Cape Verde",548416,5,,,4,por,Portuguese,1,Christianity,94.8695871410423,8.77777687398919,N,AFR,Africa,8,"Africa, West and Central",66,87,CPV,550000,
CJ,"Cayman Islands",64673,10,,,5,eng,English,1,Christianity,81.9255052307692,21.2275230769231,N,NAR,"North America",12,"America, North and Caribbean",100,99,CYM,65000,
CT,"Central African Republic",4726758,81,7,460570,5,fra,French,1,Christianity,70.4377726259055,31.6115641643836,N,AFR,Africa,8,"Africa, West and Central",41,57,CAF,4745000,11
CD,Chad,15883115,141,78,8782990,4,arb,"Arabic, Standard",6,Islam,26.0236374367451,7.57003145838509,Y,AFR,Africa,8,"Africa, West and Central",23,26,TCD,15947000,210
CI,Chile,18863640,28,3,24742,5,spa,Spanish,1,Christianity,87.1183919966231,23.015071583908,N,LAM,"South America",11,"America, Latin",88,99,CHL,18952000,3
CH,China,1417860893,545,445,146114037,4,cmn,"Chinese, Mandarin",7,Non-Religious,9.21066516549844,7.54689035962545,Y,ASI,Asia,3,"Asia, Northeast",59,95,CHN,1433784000,3144
HK,"China, Hong Kong",7392217,24,10,425492,4,cmn,"Chinese, Mandarin",4,"Ethnic Religions",12.4989544171598,6.03335708795051,Y,ASI,Asia,3,"Asia, Northeast",100,97,HKG,7436000,15
MC,"China, Macau",618139,12,5,561955,2,yue,"Chinese, Yue",4,"Ethnic Religions",5.232776171875,1.78495932946916,Y,ASI,Asia,3,"Asia, Northeast",100,97,MAC,640000,14
KT,"Christmas Island",1924,4,2,967,4,eng,English,2,Buddhism,15.3881545454545,2.57886363636364,N,SOP,Oceania,1,"Australia and Pacific",,,CXR,2200,2
CK,"Cocos (Keeling) Islands",574,2,1,420,4,eng,English,6,Islam,18.8073333333333,3.43333333333333,N,SOP,Oceania,1,"Australia and Pacific",,,CCK,600,1
CO,Colombia,50155974,119,12,29677,5,spa,Spanish,1,Christianity,94.1044101917003,10.6642681829713,N,LAM,"South America",11,"America, Latin",81,94,COL,50339000,12
CN,Comoros,843937,12,8,839448,1,swb,"Comorian, Maore",6,Islam,0.941799165659074,0.284296479260365,N,AFR,Africa,7,"Africa, East and Southern",29,76,COM,851000,21
CG,"Congo, Democratic Republic of",86656982,229,3,261993,5,fra,French,1,Christianity,91.6637247663928,19.2149776739524,N,AFR,Africa,8,"Africa, West and Central",45,77,COD,86791000,6
CF,"Congo, Republic of the",5310793,71,1,11545,5,fra,French,1,Christianity,88.23704689277859,14.8112820665304,N,AFR,Africa,8,"Africa, West and Central",67,79,COG,5381000,1
CW,"Cook Islands",17545,7,,,5,eng,English,1,Christianity,97.6508744444444,13.5973495396433,N,SOP,Oceania,1,"Australia and Pacific",75,95,COK,18000,
CS,"Costa Rica",5011736,21,1,2585,5,spa,Spanish,1,Christianity,95.6377505209984,18.3495074205271,N,NAR,"North America",11,"America, Latin",79,94,CRI,5048000,1
IV,"Côte d'Ivoire",25649234,109,36,8559865,4,fra,French,6,Islam,31.0236702305868,9.65575146211367,N,AFR,Africa,8,"Africa, West and Central",51,57,CIV,25717000,183
HR,Croatia,4063188,24,2,29310,3,hrv,Croatian,1,Christianity,92.61063787893001,0.379208418886199,N,EUR,Europe,9,"Europe, Eastern and Eurasia",57,99,HRV,4130000,2
CU,Cuba,11329429,17,2,34923,5,spa,Spanish,1,Christianity,56.2117734271596,11.3354474473303,N,NAR,"North America",12,"America, North and Caribbean",77,100,CUB,11333000,2
UC,Curacao,161023,16,2,768,4,nld,Dutch,1,Christianity,85.974102208589,6.86282883435583,N,NAR,"North America",12,"America, North and Caribbean",89,99,CUW,163000,2
CY,Cyprus,1166320,30,5,233981,3,ell,Greek,1,Christianity,71.9146924603837,1.27894924680363,N,EUR,Europe,10,"Europe, Western",67,99,CYP,1199000,8
EZ,Czechia,10645538,38,6,12474,2,ces,Czech,7,Non-Religious,26.9214250986996,0.740068229020488,N,EUR,Europe,9,"Europe, Eastern and Eurasia",74,100,CZE,10689000,6
DA,Denmark,5758894,85,24,249366,4,dan,Danish,1,Christianity,82.88880453913779,3.62411746361746,N,EUR,Europe,10,"Europe, Western",88,99,DNK,5772000,24
DJ,Djibouti,962112,11,7,952211,1,arb,"Arabic, Standard",6,Islam,0.858147782340862,0.09031871404485051,Y,AFR,Africa,7,"Africa, East and Southern",78,68,DJI,974000,23
DO,Dominica,65430,7,1,838,5,eng,English,1,Christianity,91.9055243055556,17.8550418430645,N,NAR,"North America",12,"America, North and Caribbean",71,94,DMA,72000,1
DR,"Dominican Republic",10687019,15,1,1666,5,spa,Spanish,1,Christianity,93.792668307105,10.8391269967878,N,NAR,"North America",12,"America, North and Caribbean",81,91,DOM,10739000,1
TT,"East Timor",1269484,23,,,4,por,Portuguese,1,Christianity,91.380079682908,2.4837355242124,Y,ASI,Asia,2,"Asia, Southeast",31,68,TLS,1293000,
EC,Ecuador,17315874,36,1,634,5,spa,Spanish,1,Christianity,93.6935045067342,10.5716817755551,N,LAM,"South America",11,"America, Latin",64,94,ECU,17374000,1
EG,Egypt,100263911,42,25,15647652,4,arb,"Arabic, Standard",6,Islam,12.6649356285538,4.28277648650046,Y,AFR,Africa,6,"Africa, North and Middle East",43,75,EGY,100388000,319
ES,"El Salvador",6394815,10,1,624,5,spa,Spanish,1,Christianity,94.4546961372792,44.935664501481,N,NAR,"North America",11,"America, Latin",72,87,SLV,6454000,1
EK,"Equatorial Guinea",1336690,18,2,28570,4,spa,Spanish,1,Christianity,89.3183494837758,4.71006497589498,N,AFR,Africa,8,"Africa, West and Central",72,88,GNQ,1356000,2
ER,Eritrea,3392982,18,10,1322975,4,tir,Tigrigna,6,Islam,51.3910640091507,2.66782743155759,Y,AFR,Africa,7,"Africa, East and Southern",40,69,ERI,3497000,29
EN,Estonia,1303866,18,3,4597,4,est,,7,Non-Religious,48.8653766968326,4.44907285067873,N,EUR,Europe,9,"Europe, Eastern and Eurasia",69,99,EST,1326000,3
WZ,Eswatini,1087648,10,1,627,5,ssw,Swati,1,Christianity,84.08236322299651,20.8834588073575,N,AFR,Africa,7,"Africa, East and Southern",24,88,SWZ,1148000,1
ET,Ethiopia,111095173,123,34,32244270,5,amh,Amharic,1,Christianity,59.0493643968986,18.15504419308,Y,AFR,Africa,7,"Africa, East and Southern",21,49,ETH,112079000,655
FK,"Falkland Islands",2847,2,,,4,eng,English,1,Christianity,64.12220000000001,9.05707893408135,N,LAM,"South America",11,"America, Latin",78,,FLK,3000,
FO,"Faroe Islands",48048,3,,,5,dan,Danish,1,Christianity,90.91345367346941,32.9537437543454,N,EUR,Europe,10,"Europe, Western",42,,FRO,49000,
FJ,Fiji,877880,33,1,4436,5,eng,English,1,Christianity,64.3921946629213,26.2940450459441,N,SOP,Oceania,1,"Australia and Pacific",56,94,FJI,890000,1
FI,Finland,5503307,58,15,58524,5,fin,Finnish,1,Christianity,81.4744181832971,10.3704060545096,N,EUR,Europe,10,"Europe, Western",85,100,FIN,5532000,15
FR,France,64920324,113,37,4230603,3,fra,French,1,Christianity,62.3488805140488,1.22820839392439,N,EUR,Europe,10,"Europe, Western",80,99,FRA,65130000,97
FG,"French Guiana",285197,23,1,4328,4,fra,French,1,Christianity,81.3237731958763,5.59458120509658,N,LAM,"South America",11,"America, Latin",84,83,GUF,291000,1
FP,"French Polynesia",272960,13,,,4,fra,French,1,Christianity,83.74960931899641,6.1150344111325,N,SOP,Oceania,1,"Australia and Pacific",62,98,PYF,279000,
GB,Gabon,2139662,52,5,48660,5,fra,French,1,Christianity,75.1866742751956,11.9246673722964,N,AFR,Africa,8,"Africa, West and Central",89,89,GAB,2173000,5
GA,Gambia,2303109,30,16,1937479,1,eng,English,6,Islam,3.64501208688245,0.878215043514575,Y,AFR,Africa,8,"Africa, West and Central",61,56,GMB,2348000,49
GG,Georgia,3932769,40,16,258283,3,kat,Georgian,1,Christianity,80.65684810607959,1.38599973229922,N,EUR,Europe,9,"Europe, Eastern and Eurasia",59,99,GEO,3997000,19
GM,Germany,83265349,87,26,3298880,4,deu,"German, Standard",1,Christianity,65.4181109604779,2.00535879689381,N,EUR,Europe,10,"Europe, Western",77,99,DEU,83517000,78
GH,Ghana,30326800,110,19,1593599,5,eng,English,1,Christianity,62.3993154776776,25.8901376591964,N,AFR,Africa,8,"Africa, West and Central",56,71,GHA,30418000,41
GI,Gibraltar,33381,6,3,2970,4,eng,English,1,Christianity,80.4850294117647,2.21041652109212,N,EUR,Europe,10,"Europe, Western",100,80,GIB,34000,3
GR,Greece,10402021,50,10,240222,3,ell,Greek,1,Christianity,88.3400100190967,0.486893474324389,N,EUR,Europe,9,"Europe, Eastern and Eurasia",79,98,GRC,10473000,11
GL,Greenland,55866,4,,,4,kal,Greenlandic,1,Christianity,95.3196031578947,7.60657304104526,N,NAR,"North America",12,"America, North and Caribbean",87,99,GRL,57000,
GJ,Grenada,108029,6,,,5,eng,English,1,Christianity,92.3762982142857,18.8184017857143,N,NAR,"North America",12,"America, North and Caribbean",36,96,GRD,112000,
GP,Guadeloupe,391837,7,,,4,fra,French,1,Christianity,95.19580405000001,4.76352664235413,N,NAR,"North America",12,"America, North and Caribbean",98,100,GLP,400000,
GQ,Guam,161826,15,1,2667,5,eng,English,1,Christianity,92.57521347305391,15.8944359281437,N,SOP,Oceania,1,"Australia and Pacific",95,96,GUM,167000,1
